comment,num_of_likes,analise
"PARA REFLETIR  :   Por favor    ,  parem de votar nos patrões para representar VOCÊS na política;  Dos   594     políticos do congresso  ;    263  são empresários  , 161   são fazendeiros  ;         Somados   são  :           7 2  %   do congresso Nacional.      VOCÊS acham que estes estão preocupados com trabalhadores e pobres  ?     SÓ coincidência o bolsonero ter acabado com o ministério do trabalho e meio ambiente  ?",10,negativo
"Só o fato de se exigir um projeto ou plano de trabalho já vai frear boa parte farra que tava acontecendo.  Congresso quer gastar o dinheiro do orçamento público sem responsabilidade do resultado,  sem controle  para alimentar/aumentar o poder do político em sua região.",7,negativo
"Pelo menos já acendeu a luz vermelha 🏮 da polícia federal,  que com certeza vão ficar de olho nessas emendas até chegar nas prefeituras e pra que foram usadas.  Já é alguma coisa.",6,positivo
"Isso é o óbvio. Certissímo, tem que ter transparência com o dinheiro público.",5,positivo
Patria Amada Brasil orden e información e justicia e progresso e transparencia e a populacao agradece 👍 felicidades 😍,5,positivo
É isso aí Barroso!!! Parabéns aos nossos corajosos e corretos Ministros.🎉🎉🎉🎉🎉🎉,4,positivo
Jogar o orçamento na mão dos parlamentares foi o maior erro cometido no Brasil em todos os tempos. Cometido por Michel Temer em 2015 e agravado por Bolsonaro 19/22,4,negativo
Só pra saber  o STF  agora  legisla? Não  lembro  de ter votado  nesse  povo.,4,negativo
agora eu quero ver esses politicos ladroes,4,negativo
Nojo nojo nojo,4,negativo
O que o medo não faz,4,negativo
PARECE MEIO &quot; ÓBVIO&quot; QUE QEM TEM O DIREITO &amp; DEVER DE &quot; EXECUTAR&quot; AS VERBAS É O PODER &quot; EXECUTIVO&quot; OU NÃO ???,3,negativo
Sem pix os bandidos piram...😂😂😂😂,2,negativo
Esse Barroso está dando muito nojo no povo brasileiro. Saudade do tempo que ministros fazia julgamento com a boca fechada. QUE NOJOOO!!!,2,negativo
Deveria ter um referendo para decidir,2,neutro
Pouca vergonha,2,negativo
Nojo,2,negativo
