comment,num_of_likes
"PARA REFLETIR  :   Por favor    ,  parem de votar nos patrões para representar VOCÊS na política;  Dos   594     políticos do congresso  ;    263  são empresários  , 161   são fazendeiros  ;         Somados   são  :           7 2  %   do congresso Nacional.      VOCÊS acham que estes estão preocupados com trabalhadores e pobres  ?     SÓ coincidência o bolsonero ter acabado com o ministério do trabalho e meio ambiente  ?",10
"Só o fato de se exigir um projeto ou plano de trabalho já vai frear boa parte farra que tava acontecendo.  Congresso quer gastar o dinheiro do orçamento público sem responsabilidade do resultado,  sem controle  para alimentar/aumentar o poder do político em sua região.",7
"Pelo menos já acendeu a luz vermelha 🏮 da polícia federal,  que com certeza vão ficar de olho nessas emendas até chegar nas prefeituras e pra que foram usadas.  Já é alguma coisa.",6
"Isso é o óbvio. Certissímo, tem que ter transparência com o dinheiro público.",5
Patria Amada Brasil orden e información e justicia e progresso e transparencia e a populacao agradece 👍 felicidades 😍,5
É isso aí Barroso!!! Parabéns aos nossos corajosos e corretos Ministros.🎉🎉🎉🎉🎉🎉,4
Jogar o orçamento na mão dos parlamentares foi o maior erro cometido no Brasil em todos os tempos. Cometido por Michel Temer em 2015 e agravado por Bolsonaro 19/22,4
Só pra saber  o STF  agora  legisla? Não  lembro  de ter votado  nesse  povo.,4
agora eu quero ver esses politicos ladroes,4
Nojo nojo nojo,4
O que o medo não faz,4
PARECE MEIO &quot; ÓBVIO&quot; QUE QEM TEM O DIREITO &amp; DEVER DE &quot; EXECUTAR&quot; AS VERBAS É O PODER &quot; EXECUTIVO&quot; OU NÃO ???,3
Sem pix os bandidos piram...😂😂😂😂,2
Esse Barroso está dando muito nojo no povo brasileiro. Saudade do tempo que ministros fazia julgamento com a boca fechada. QUE NOJOOO!!!,2
Deveria ter um referendo para decidir,2
Pouca vergonha,2
Nojo,2
Ainda não tem um 1gb e já recuaram. Perdeu MANÉ!!!,2
Que vergonha. Parlamentar não apresenta plano de governo. Isso é uma vergonha. Roubo legalizado.,1
"Isso  já  passou do razoável, esse elemento  não  tem  nem um  voto, mas acha que  vai ditar a política  do país.",1
Nossa a imponência desse v.excrecencia sr LRB chega dá nojo ao próprio nojo. Um hipócrita.,1
Agregaram que vergonha,1
E as que já foram feitas não serão investigadas?,1
"Ou seja, acabou em pizza😂😂😂😂😂😂😂😂",1
"Devolvemos o dinheiro e tudo fica de boas,  HARMONIA TOTAL😂😂",1
Q transparencia??eles continuaram com as emendas por baixo dos panos roubando sempre,1
VERGONHOSO!!! DA NOJO!,0
"Foi mantida para o Lira deixar quieto a redução dos poderes do STF,  e proteção ao morais .",0
Resumindo o roubo tem que ser mais moderno,0
"O judiciário também tem que ser transparente.E um ministro sem postura,que fala &quot;perdeu mané&quot;,não tem credibilidade alguma.",0
Eu nunca vi um país que o judiciário governa junto com o Governo,0
Nojo desse senhor.,0
"Acorvadou  o Supremo Tttribunal, e o poder executivo.Estas emendas  não obrigatória tinham que acabar.Eles vão dar  um jeito de dipra o acordo.",0
"Arthur Lira é presidente da Câmara e do Sindicato dos Deputados! Também <br>é conhecido como Chantagista Geral da República! Foi ¨reeleito&quot; graças ao <br>&quot;ORÇAMENTO SECRETO&quot; e &quot;EMENDAS PIX&quot; por deputados de DIREITA E ESQUERDA&quot; <br>Eles não querem largar a &quot;MAMATA&quot;!",0
"E o que foi enviado sem transparência e sem rastreabilidade, VÃO INVESTIGAR? <br>CPI DO BOLSOLÃO JÁ!",0
A culpa é de bolsonaro..,0
Parabéns Presidente do congresso,0
STF casta muito,0
Graças adeus ainda temos o supremo.  Pelo povo,0
"Mas oq ele tá falando é as emendas impositivas, que são constitucionais e transparentes; que Flávio Dino, também, cortou. Com a intenção de subjugar os deputados ao presidente Lula. Criando um toma lá dá cá.",0
"Enfim nada mudou, pois não tem transparência.",0
Esses caras que mandam no povo???? Quantos votos ele recebeu???),0
Perdeu mané vc não manda nada vc não tem voto quem vai acreditar em vocês?????,0
O congresso é muito frouxos né kkkkkkkkkk os caras mandando e desmandando no Brasil<br>E os bando de patetas que receberam votos estão de mãos atadas kkkk homens frouxos,0
"Novidade, estão  todos em casa.",0
Brasil precisa trocar todos do STF,0
"GOSTARAM BEZERRINHOS DA ESQUERDA??<br>kkkkkkkkkkkkkkkkkkkkkkkkkkk<br>As emendas vão passar, agora com &quot;transparência&quot;. Mas vão passar.<br>kkkkkkkkkkkkkkkkkkkkk<br>FAZ o L !",0
"o critério do lula, cambada de fracos!",0
"Farinha do mesmo saco todos eles ,tanto ministros como esses ladrões do parlamento 😡",0
Tudo bandidos,0
STF PROPRIO CORRUPTOR KEI TEI QUE FAZER ISSO E O CONGRESSO,0
